"houseID","totalPrice","date"
"103101392827","660","2019-02-02 21:48:13"
"103101392827","700","2019-01-01 17:09:12"
"103101395506","395","2019-02-02 21:52:07"
"103101396437","1100","2019-01-01 17:10:43"
"103101398422","555","2019-02-02 21:52:55"
"103101399107","260","2019-02-02 21:59:46"
"103101406472","250","2019-02-02 21:52:17"
"103101408735","312","2019-02-02 21:50:30"
"103101409364","120","2019-02-02 21:57:33"
"103101410607","320","2019-02-02 21:48:13"
"103101413959","1500","2019-02-02 21:53:29"
"103101417798","165","2019-02-02 22:02:00"
"103101419483","880","2019-02-02 21:50:34"
"103101419710","418","2019-02-02 21:59:08"
"103101424634","320","2019-02-02 21:54:23"
"103101424915","140","2019-01-01 17:16:28"
"103101427166","86","2019-02-02 21:57:10"
"103101430711","635","2019-01-01 17:12:05"
"103101430711","670","2019-02-02 21:53:03"
"103101432737","600","2019-02-02 21:50:45"
"103101435655","270","2019-02-02 21:53:11"
"103101436396","920","2019-02-02 22:03:07"
"103101437971","460","2019-01-01 17:15:54"
"103101440198","265","2019-02-02 21:57:10"
"103101441902","980","2019-02-02 21:51:46"
"103101444263","550","2019-02-02 21:51:25"
"103101446109","330","2019-02-02 21:59:52"
"103101447538","400","2019-01-01 17:13:14"
"103101448560","160","2019-02-02 21:51:09"
"103101451140","595","2019-02-02 21:50:45"
"103101454281","135","2019-02-02 21:53:29"
"103101454706","330","2019-01-01 17:15:54"
"103101459274","295","2019-02-02 21:52:17"
"103101463887","390","2019-02-02 21:59:52"
"103101466869","120","2019-02-02 21:57:31"
"103101466909","90","2019-01-01 17:10:36"
"103101470275","89","2019-02-02 21:59:50"
"103101472253","510","2019-02-02 21:48:39"
"103101473119","1050","2019-02-02 22:03:17"
"103101473532","550","2019-02-02 22:00:43"
"103101474933","628","2019-02-02 21:53:09"
"103101476652","440","2019-02-02 21:54:21"
"103101476652","445","2019-01-01 17:16:06"
"103101480603","359","2019-02-02 21:49:52"
"103101480756","1100","2019-01-01 17:10:30"
"103101485296","220","2019-02-02 21:58:05"
"103101486023","320","2019-02-02 22:01:45"
"103101489225","590","2019-02-02 21:57:33"
"103101489269","500","2019-02-02 21:53:17"
"103101490562","350","2019-01-01 17:16:24"
"103101495541","241","2019-01-01 17:16:38"
"103101497108","160","2019-02-02 22:03:53"
"103101501797","226","2019-01-01 17:10:48"
"103101502624","398","2019-02-02 21:53:11"
"103101503021","295","2019-02-02 21:51:35"
"103101503108","920","2019-02-02 21:53:35"
"103101503768","450","2019-01-01 17:18:33"
"103101503783","356","2019-02-02 21:57:37"
"103101503829","255","2019-02-02 21:57:10"
"103101504761","300","2019-02-02 21:57:19"
"103101504761","315","2019-01-01 17:15:58"
"103101508353","880","2019-01-01 17:16:30"
"103101511459","580","2019-01-01 17:12:46"
"103101512487","450","2019-02-02 21:57:37"
"103101513773","435","2019-02-02 22:03:09"
"103101514204","580","2019-02-02 21:59:59"
"103101521567","2380","2019-02-02 22:01:51"
"103101524313","82","2019-02-02 21:55:15"
